日期,指数代码,指数中文全称,指数中文简称,指数英文全称,指数英文简称,市盈率1,市盈率2,股息率1,股息率2
2026-05-29,905,中证小盘500指数,中证500,CSI Smallcap 500 Index,CSI 500,29.82,31.7,1.29,1.2
2026-05-28,905,中证小盘500指数,中证500,CSI Smallcap 500 Index,CSI 500,30.39,32.44,1.27,1.17
2026-05-27,905,中证小盘500指数,中证500,CSI Smallcap 500 Index,CSI 500,30.32,32.34,1.27,1.17
2026-05-26,905,中证小盘500指数,中证500,CSI Smallcap 500 Index,CSI 500,30.74,32.86,1.25,1.16
2026-05-25,905,中证小盘500指数,中证500,CSI Smallcap 500 Index,CSI 500,30.9,33.04,1.25,1.15
2026-05-22,905,中证小盘500指数,中证500,CSI Smallcap 500 Index,CSI 500,30.51,32.6,1.27,1.17
2026-05-21,905,中证小盘500指数,中证500,CSI Smallcap 500 Index,CSI 500,29.98,32.0,1.29,1.19
2026-05-20,905,中证小盘500指数,中证500,CSI Smallcap 500 Index,CSI 500,30.75,32.86,1.26,1.16
2026-05-19,905,中证小盘500指数,中证500,CSI Smallcap 500 Index,CSI 500,30.71,32.78,1.26,1.16
2026-05-18,905,中证小盘500指数,中证500,CSI Smallcap 500 Index,CSI 500,30.5,32.53,1.27,1.17
2026-05-15,905,中证小盘500指数,中证500,CSI Smallcap 500 Index,CSI 500,30.44,32.44,1.27,1.17
2026-05-14,905,中证小盘500指数,中证500,CSI Smallcap 500 Index,CSI 500,30.91,32.94,1.25,1.15
2026-05-13,905,中证小盘500指数,中证500,CSI Smallcap 500 Index,CSI 500,31.79,33.94,1.22,1.12
2026-05-12,905,中证小盘500指数,中证500,CSI Smallcap 500 Index,CSI 500,31.33,33.43,1.23,1.14
2026-05-11,905,中证小盘500指数,中证500,CSI Smallcap 500 Index,CSI 500,31.47,33.62,1.23,1.13
2026-05-08,905,中证小盘500指数,中证500,CSI Smallcap 500 Index,CSI 500,31.07,33.18,1.25,1.15
2026-05-07,905,中证小盘500指数,中证500,CSI Smallcap 500 Index,CSI 500,31.1,33.21,1.25,1.15
2026-05-06,905,中证小盘500指数,中证500,CSI Smallcap 500 Index,CSI 500,30.75,32.79,1.26,1.17
2026-05-05,905,中证小盘500指数,中证500,CSI Smallcap 500 Index,CSI 500,31.28,32.7,1.3,1.2
2026-05-04,905,中证小盘500指数,中证500,CSI Smallcap 500 Index,CSI 500,31.28,32.7,1.3,1.2
